,HOG,label
0,[0.07733569 0.1750842  0.05174413 ... 0.1015801  0.03921338 0.0759174 ],1
1,[0.17419553 0.1873917  0.09923255 ... 0.07840613 0.01675791 0.15006061],0
2,[0.11382956 0.0785783  0.03860593 ... 0.04590854 0.00194748 0.00116602],0
3,[0.1484477  0.32133852 0.14553327 ... 0.02403232 0.00372925 0.00149949],0
4,[0.10410056 0.17956561 0.05774328 ... 0.09018648 0.08271855 0.03447984],0
5,[0.0828008  0.11426174 0.0518263  ... 0.11141791 0.05754136 0.04627317],0
6,[0.22716384 0.3636072  0.23385617 ... 0.16579845 0.10629321 0.07386713],0
7,[0.28417321 0.52955562 0.14317604 ... 0.00482359 0.00070477 0.        ],0
8,[0.07439904 0.23162415 0.14174849 ... 0.0786041  0.03111411 0.01372335],0
9,[0.05147632 0.1527032  0.06236649 ... 0.35406334 0.         0.        ],0
10,[0.         0.00293198 0.00061943 ... 0.0163602  0.00767009 0.        ],0
11,[0.12237567 0.1007339  0.05643113 ... 0.02320567 0.01393769 0.00663404],0
12,[0.03812412 0.14320352 0.06855972 ... 0.20283186 0.1054558  0.04984082],0
13,[0.05939607 0.27096634 0.11639935 ... 0.15882495 0.05937948 0.        ],0
14,[0.05232084 0.21486905 0.14853554 ... 0.1432655  0.12020895 0.00826042],0
15,[0.10218599 0.35777882 0.250137   ... 0.25395783 0.13037467 0.0271688 ],0
16,[0.00676002 0.05349141 0.0381362  ... 0.01126773 0.01030767 0.43538349],0
17,[0.19421198 0.2672878  0.01139575 ... 0.06312095 0.04071315 0.03845031],0
18,[0.         0.06655029 0.         ... 0.11984398 0.05181954 0.03132702],0
19,[0.21296169 0.27661183 0.10742496 ... 0.02289679 0.00516903 0.05767287],0
20,[0.19551456 0.26086521 0.09978302 ... 0.05106802 0.01571886 0.03012262],0
21,[0.         0.29486294 0.0756733  ... 0.02243612 0.00745967 0.        ],0
22,[0.12259277 0.26485392 0.14865293 ... 0.16618856 0.08327567 0.03267427],0
23,[0.04233169 0.08615027 0.0634034  ... 0.17180843 0.04862303 0.01612442],0
24,[0.16718236 0.28029984 0.11548445 ... 0.03315982 0.03306776 0.00645429],0
25,[0.02168692 0.15286815 0.03435802 ... 0.16596664 0.02208857 0.03106056],0
26,[0.         0.00759467 0.00866681 ... 0.         0.         0.        ],0
27,[0.05007366 0.11244328 0.12452731 ... 0.12226925 0.05733649 0.02297582],1
28,[nan nan nan ... nan nan nan],0
29,[0.         0.02585845 0.00529607 ... 0.05474387 0.00349008 0.02607434],0
30,[0.3806017  0.38914051 0.03090288 ... 0.1605824  0.04479741 0.02250319],0
31,[0.24651314 0.37174116 0.07135754 ... 0.0892569  0.01299347 0.00139656],0
32,[0.         0.01559718 0.         ... 0.02774018 0.0107284  0.        ],0
33,[0.0317673  0.18192041 0.02444483 ... 0.12020762 0.04286306 0.06778939],0
34,[0.02938458 0.06882961 0.00322939 ... 0.01797662 0.00097531 0.00350227],0
35,[0.08584671 0.19724438 0.0863461  ... 0.02349627 0.00656038 0.01879041],1
36,[0.05192544 0.12860869 0.04293605 ... 0.11980591 0.03591066 0.        ],0
37,[0.04249785 0.10354489 0.02773468 ... 0.         0.         0.        ],1
38,[0.07124046 0.24137235 0.13818956 ... 0.08717923 0.02636074 0.        ],0
39,[0.05208081 0.06701516 0.0593848  ... 0.09502233 0.022154   0.06429378],0
40,[0.02672385 0.10020358 0.03390641 ... 0.0127455  0.00380615 0.01024555],0
41,[0.21965505 0.39558685 0.09806918 ... 0.04080055 0.00161779 0.        ],1
42,[       nan        nan        nan ... 0.11623756 0.002817   0.00450645],0
43,[0. 0. 0. ... 0. 0. 0.],0
44,[0.         0.0300519  0.00636103 ... 0.04431623 0.00329806 0.00514424],1
45,[0.08080961 0.10663431 0.06883612 ... 0.01532763 0.00756401 0.22436024],0
46,[0.23007235 0.6104859  0.15279526 ... 0.         0.         0.13906971],1
47,[0.10540319 0.41581652 0.06876534 ... 0.04264281 0.01422627 0.04217362],0
48,[0.38539477 0.38704527 0.10177879 ... 0.18760237 0.01760473 0.01121266],0
49,[0.06175997 0.29407932 0.15345146 ... 0.21927768 0.0399488  0.03340996],0
50,[0.00731514 0.04646346 0.02153326 ... 0.18369099 0.05476024 0.00345194],0
51,[0.02486594 0.08005833 0.05378553 ... 0.02120927 0.00142744 0.01771415],1
52,[0.27837314 0.34335422 0.15239144 ... 0.0657607  0.02031836 0.00428873],1
53,[0.30926443 0.24532817 0.09369411 ... 0.11806473 0.05432562 0.05331619],0
54,[0.00695695 0.08287214 0.04615804 ... 0.11836874 0.05172785 0.03650957],0
55,[0.0499106  0.18249968 0.03994546 ... 0.37847826 0.33027368 0.02129254],0
